s.no,code,Station,Latitude,Longitude
1,AVP,abhanpur junction,21.052203,81.744899
2,ABS,Abohar Junction,30.1393015,74.1947085
3,AH,Achhnera Junction,27.1815901,77.7581759
4,AI,Adipur Junction,23.076445,70.0779848
6,ADRA,Adra Junction,23.495768,86.6746476
8,AMP,Ahmadpur Junction,23.8326766,87.6928046
9,ADI,Ahmedabad Junction,23.0263312,72.601
10,AIT,Ait Junction,25.9028963,79.2296205
11,AII,Ajmer Junction,26.4563356,74.6373478
12,ABP,Akbarpur Junction,26.4296681,82.5393176
13,AK,Akola Junction,20.7241686,77.0056241
14,ALJN,Aligarh Junction,27.8888068,78.0747358
16,LWR,Alnavar Junction,15.4245112,74.7383026
17,AUB,Aluabari Road Junction,26.2690428,88.1852468
18,AWR,Alwar Junction,27.5604901,76.6213533
19,AVC,Amaravathi Colony Junction,14.4989804,75.8521246
21,AGI,Amguri Junction,26.8129389,94.524155
23,ASR,Amritsar Junction,31.6332129,74.8671432
24,ANND,Anand Junction,22.5617213,72.9659457
25,ANDN,Anand Nagar Junction,27.0995326,83.2698977
26,UDL,Andal Junction,23.5790543,87.1814926
27,AKV,Ankleshwar Junction,21.6256148,73.0011176
28,APR,Anuppur Junction,23.1178762,81.6964695
29,ARA,Ara Junction,25.5484661,84.6616316
30,AJJ,Arakkonam Junction,13.0823386,79.6685253
31,ASK,Arsikere Junction,13.3137821,76.253199
32,ARCL,Arunachal Junction,24.8557762,92.7429584
33,ASN,Asansol Junction,23.69131,86.974792
36,ABO,Asthal Bohar Junction,28.858154,76.6290527
37,OND,Aunlajori Junction,22.334605,86.1959599
39,ARJ,Aunrihar Junction,25.5451326,83.1876447
40,AY,Ayodhya Junction,26.7879374,82.2010025
42,AZ,Azimganj Junction,24.2300417,88.2599099
43,BCA,Bachwara Junction,25.5836747,85.8986798
44,BPB,Badarpur Junction,24.865057,92.556227
45,BD,Badnera Junction,20.8570611,77.7321821
46,BKP,Bakhtiyarpur Junction,25.456106,85.5307786
47,BTC,Balaghat Junction,21.8132939,80.1997061
49,BLM,Balamau Junction,27.1680626,80.3518903
50,BLGR,Balangir Junction,20.6891742,83.4943334
52,BAY,Ballari Junction,15.1455319,76.9235821
55,BDC,Bandel Junction,22.9236692,88.3782855
56,BKI,Bandikui Junction,27.0400263,76.5667187
60,BNKI,Banmankhi Junction,25.8849548,87.1944371
63,BBK,Barabanki Junction,26.9340514,81.1787492
65,BHLE,Barahat Junction,24.9204274,87.0104067
66,BRGM,Baraigram Junction,24.6825788,92.3412269
68,BRAG,Barang Junction,20.404384,85.8320554
69,BT,Barasat Junction,22.7241945,88.4837829
70,BJU,Barauni Junction,25.4629595,85.9879088
74,BE,Bareilly Junction,28.3381037,79.4102663
78,BHW,Barharwa Junction,24.858564,87.7744464
79,BRKA,Barkakana Junction,23.6242004,85.468601
80,BOE,Barsoi Junction,25.6509032,87.9235811
81,BRP,baruipur junction,22.366658,88.431647
82,BRWD,Barwadih Junction,23.8438267,84.1159994
83,BBQ,Basin Bridge Junction,13.1023451,80.2712458
84,BAT,Batala Junction,31.821405,75.1945526
86,BTI,Bathinda Junction,30.2127569,74.9330837
87,BXN,Bayana Junction,26.9160529,77.2964189
88,BEAS,Beas Junction,31.5202811,75.2913365
89,VAA,bhaga junction,23.723331,86.405555
90,BGP,Bhagalpur Junction,25.2413642,86.9727974
91,BHA,Bhandai Junction,27.0686797,77.9665825
92,BTE,Bharatpur Junction,27.2364861,77.4875907
93,BHRL,Bharoli Junction,32.2715378,75.6163853
95,PHLG,Bharpura Pahleza Ghat Junction,25.6996142,85.1352099
96,BH,Bharuch Junction,21.7035151,72.9992471
97,BTT,Bhatni Junction,26.3815594,83.9333475
99,BLDI,Bhildi Junction,24.1944244,72.0093403
100,BVRM,Bhimavaram Junction,16.5443946,81.5376396
102,BZM,Bhimsen Junction,26.4203669,80.2192921
103,BNW,Bhiwani Junction,28.8005705,76.1244933
105,BJE,Bhojudih Junction,23.6416592,86.4473614
107,BPL,Bhopal Junction,23.2664845,77.4130845
108,BCB,bhowra junction,23.67077,86.417009
109,BSL,Bhusaval Junction,21.0472554,75.7880594
110,BEHS,Bihar Sharif Junction,25.2032668,85.5395233
111,BKN,Bikaner Junction,28.0152443,73.3156415
112,BSP,Bilaspur Junction,22.0561021,82.1707668
113,BIM,Bilimora Junction,20.7666352,72.9700083
114,BXLL,Billi Junction,24.4619706,83.0191726
115,BUF,Bimlagarh Junction,21.9679393,85.0101442
117,BINA,Bina Junction,24.1712328,78.1851809
120,RRB,Birur Junction,13.5932294,75.973015
122,VBL,Bobbili Junction,18.5764158,83.3460539
123,BCHN,Bochasan Junction,22.4019104,72.8486355
126,BRND,Boridand Junction,23.2672953,82.1778578
127,BTD,Botad Junction,22.1825073,71.6655674
128,BUW,Burhwal Junction,27.0862188,81.3896582
129,CSN,Chalisgaon Junction,20.4640201,74.9990707
130,CPH,Champa Junction,22.0348235,82.6652117
131,CSMA,chanasma junction,23.710492,72.111883
132,CH,Chandausi Junction,28.4595055,78.7783211
134,CNI,Chandil Junction,22.9558371,86.0718593
135,CRP,Chandrapura Junction,23.7553585,86.1197099
136,CPK,Chaparmukh Junction,26.203175,92.5118391
139,CPR,Chhapra Junction,25.7872602,84.7250566
140,CWA,Chhindwara Junction,22.0578229,78.953772
142,CCP,Chhuchhapura Junction,22.21511,73.5943559
144,JRU,Chikjajur Junction,14.1238212,76.1398932
145,CIL,Chilbila Junction,25.9468607,82.0040273
146,COR,Chittaurgarh Junction,24.8760203,74.6232714
147,CAR,Chunar Junction,25.1036438,82.8751866
149,CUR,Churu Junction,28.2888645,74.9664018
150,CBE,Coimbatore Junction,10.9975682,76.9663657
151,CUPJ,Cuddalore Port Junction,11.7159501,79.7670526
152,CTC,Cuttack Junction,20.4640266,85.9002044
153,DB,Dabhoi Junction,22.1376265,73.4155531
155,DAC,Dahinsara Junction,22.9558337,70.618224
157,DMW,Dalmau Junction,26.075646,81.0544333
161,DHWN,Daniyawan Junction,25.4221827,85.2872561
163,DBG,Darbhanga Junction,26.1545339,85.9076987
164,DTL,Darritola Junction,23.2893336,82.3957413
165,DYP,Daryapur Junction,26.1825848,81.2484241
166,DD,Daund Junction,18.4639145,74.5793013
167,DNA,Degana Junction,26.8970658,74.316992
168,DLI,Delhi Junction,28.660932,77.2276494
169,DSA,Delhi Shahdara Junction,28.6734557,77.2922087
171,DWX,Dewas Junction,22.9780228,76.0519637
172,DHN,Dhanbad Junction,23.7913021,86.4294782
173,DARI,Dhari Junction,21.3268106,71.0277424
175,DMM,Dharmavaram Junction,14.4260635,77.7152283
176,DAS,Dhasa Junction,21.7827419,71.518056
177,DLJ,Dhola Junction,21.8226487,71.7396251
178,DHO,Dholpur Junction,26.6963543,77.9059515
180,DHNE,Dhone Junction,15.3953323,77.8680662
181,DHG,Dhrangadhra Junction,22.9880615,71.4777529
182,DUI,Dhuri Junction,30.3724081,75.871738
183,DLN,Dildarnagar Junction,25.418716,83.6668861
184,DG,Dindigul Junction,10.3527913,77.9834295
186,DIVA,Diva Junction,19.1887564,73.0414169
187,DKJ,Dornakal Junction,17.4453554,80.1529003
188,DDJ,Dum Dum Junction,22.6206549,88.3932794
190,DDA,Duraundha Junction,26.0872314,84.4593941
191,DURG,Durg Junction,21.2000869,81.2915794
193,ERS,Ernakulam Junction,9.9706145,76.2909707
194,ED,Erode Junction,11.3286258,77.7257896
195,ETW,Etawah Junction,26.7869304,79.0209359
197,FKM,Fakiragram Junction,26.3644473,90.1858583
198,FBD,Farrukhabad Junction,27.3824969,79.5716105
200,FTD,fatehabad chowk junction,23.009106,75.673338
201,FUT,Fatuha Junction,25.5032324,85.3039643
202,FKA,Fazilka Junction,30.4086844,74.026794
204,FBG,Forbesganj Junction,26.2988735,87.2621834
205,FKG,Furkating Junction,26.4647187,94.0018343
206,GDG,Gadag Junction,15.4364738,75.6421607
208,GIR,Gainsari Junction,27.5271027,82.5470614
210,GJL,Gajraula Junction,28.8348503,78.250401
212,GIMB,Gandhidham Junction,23.0683899,70.1477121
213,GHH,Garhi Harsaru Junction,28.4382985,76.9307249
215,GAYA,Gaya Junction,24.8035189,84.9994253
216,GZB,Ghaziabad Junction,28.6528563,77.4282442
218,GDA,Godhra Junction,22.776325,73.6058611
219,GKJ,Golakganj Junction,26.1081741,89.830652
220,GD,Gonda Junction,27.1545673,81.9773841
221,G,Gondia Junction,21.4611517,80.1931894
222,GY,Gooty Junction,15.1495485,77.625239
223,GYJ,gooty junction cabin,15.140041,77.650955
224,GKP,Gorakhpur Junction,26.7604641,83.3798194
227,GDV,Gudivada Junction,16.4305751,80.98843
228,GDR,Gudur Junction,14.1486107,79.8456294
229,GUNA,Guna Junction,24.6409015,77.3142908
230,GTL,Guntakal Junction,15.1737125,77.3698642
231,GNT,Guntur Junction,16.3009112,80.4424838
232,GQL,Gurla Junction,25.2712446,75.8863961
233,GWL,Gwalior Junction,26.2162438,78.1826037
235,HJP,Hajipur Junction,25.7019167,85.2149445
236,HMH,Hanumangarh Junction,29.6117053,74.2936019
237,HPU,Hapur Junction,28.739239,77.7787139
238,HMY,Harmuti Junction,27.1190192,93.8606073
239,HAS,Hassan Junction,13.0033872,76.1173868
241,HTZ,Hathidah Junction,25.3659157,85.9873536
242,HRS,Hathras Junction,27.6245866,78.1372829
244,HMT,Himmatnagar Junction,23.5919297,72.96025
245,HSR,Hisar Junction,29.1523467,75.7245798
246,HPT,Hosapete Junction,15.2865355,76.3865828
247,HG,Hotgi Junction,17.5652835,75.9895751
250,UBL,Hubballi Junction,15.3500577,75.1494758
252,IAA,Indara Junction,25.9875451,83.6198284
253,INDB,Indore Junction,22.7170064,75.8684722
255,IGU,Irugur Junction,11.0159443,77.0678212
256,ET,Itarsi Junction,22.6085628,77.76707
257,ITR,Itwari Junction,21.1575034,79.1188261
259,JP,Jaipur Junction,26.9207888,75.7866539
260,JHL,Jakhal Junction,29.803082,75.8207927
261,JKPR,Jakhapura Junction,20.9162794,86.0647151
262,JM,Jalamb Junction,20.8127812,76.5729835
263,JRC,Jalandhar Cantonment Junction,31.3073313,75.6311992
264,JUC,Jalandhar City Junction,31.3312228,75.5907178
265,JL,Jalgaon Junction,21.0179798,75.5632539
266,JMP,Jamalpur Junction,25.3153535,86.4933483
267,JNH,Janghai Junction,25.5500475,82.3100813
269,JSME,Jasidih Junction,24.5152477,86.6441571
270,JNU,Jaunpur Junction,25.7613222,82.6993757
271,JLR,Jetalsar Junction,21.7291971,70.5743069
274,JJP,Jhanjharpur Junction,26.2302624,86.2706673
275,JHS,Jhansi Junction,25.44395,78.5534422
276,JSG,Jharsuguda Junction,21.8632067,84.018896
277,JIND,Jind Junction,29.3296102,76.2895009
279,JTJ,Jolarpettai Junction,12.5639905,78.5783902
281,JND,Junagadh Junction,21.5294132,70.4578106
282,DRU,Kadur Junction,13.5502511,76.0087022
283,CCT,Kakinada Town Junction,16.9672966,82.2334774
284,KLBG,Kalaburagi Junction,17.3149291,76.8256326
285,KLNP,Kalinarayanpur Junction,23.2080551,88.5731871
286,KLU,Kalluru Junction,14.9250151,77.5815391
287,KLL,Kalol Junction,23.2436683,72.503355
288,KYN,Kalyan Junction,19.2358216,73.1308101
289,KYQ,Kamakhya Junction,26.1572797,91.6920689
290,KNLS,Kanalus Junction,22.3195174,69.896293
293,KNHN,Kanhan Junction,21.224885,79.2368087
294,KBRV,Kanjari Boriyavi Junction,22.6156749,72.9218334
295,KIS,Kapilas Road Junction,20.5572991,85.9930663
297,KKDI,Karaikkudi Junction,10.0696672,78.793967
299,KRLR,Karaila Road Junction,24.2702222,82.7252006
300,KXJ,Karimganj Junction,24.8604244,92.3726392
304,KRR,Karur Junction,10.9658076,78.0849562
305,KSJ,Kasganj Junction,27.801985,78.6461269
306,KPV,Kashipur Junction,29.2046633,78.9608565
307,KTX,Katakhal Junction,24.8354595,92.626631
308,KIR,Katihar Junction,25.5479729,87.5652322
309,KTE,Katni Junction,23.8347633,80.4006981
310,KPD,Katpadi Junction,12.9721529,79.1376369
311,KWAE,Katwa Junction,23.6400038,88.1237572
312,KYJ,Kayamkulam Junction,9.1813015,76.5121004
313,KZJ,Kazipet Junction,17.9748271,79.5112685
315,KID,Khairar Junction,25.4519194,80.2363078
316,KAN,Khana Junction,23.3213641,87.7695684
317,KHNP,Khanapur Junction,17.9424998,77.3842209
319,KNW,Khandwa Junction,21.8237021,76.3532291
320,KGP,Kharagpur Junction,22.3399404,87.3250048
321,KJV,khijadiya junction,21.740875,71.275556
324,KUR,Khurda Road Junction,20.1531141,85.7076331
325,KRJ,Khurja Junction,28.2065891,77.8197866
326,KIUL,Kiul Junction,25.171587,86.1056672
327,KQR,Koderma Junction,24.4351882,85.5279448
328,QLN,Kollam Junction,8.8862192,76.5954829
329,KRPU,Koraput Junction,18.7920432,82.718925
330,KSB,Kosamba Junction,21.4647981,72.9549409
331,KKP,Kot Kapura Junction,30.5798513,74.8174019
332,KOTA,Kota Junction,25.2239827,75.8808529
333,KSX,Kotshila Junction,23.4112767,86.0795304
334,KTV,Kottavalasa Junction,17.8909545,83.1863609
335,KCC,Krishna Canal Junction,16.4772582,80.606004
336,KNJ,Krishnanagar City Junction,23.3886668,88.4935346
338,SBC,KSR Bengaluru City Junction,12.9781739,77.5695603
340,KDPR,Kumedpur Junction,25.4280163,87.8067067
341,KKV,kunkavav junction,21.653448,70.975052
342,KWV,Kurduvadi Junction,18.0918477,75.4170412
343,KKDE,Kurukshetra Junction,29.9698587,76.8517108
344,KDS,Kusunda Junction,23.7899957,86.3967264
345,LRJ,Laksar Junction,29.7515434,78.0212446
347,LGH,Lalgarh Junction,28.0434306,73.3145354
352,LHU,Loharu Junction,28.4271303,75.803209
353,LNK,Lohian Khas Junction,31.1654311,75.1964924
354,LD,Londa Junction,15.4489495,74.4954976
355,LKR,Luckeesarai Junction,25.1719353,86.0944367
356,LJN,Lucknow Junction,26.8315101,80.9222977
357,LDH,Ludhiana Junction,30.9122517,75.8493757
358,LMG,Lumding Junction,25.7502262,93.1766047
359,LUNI,Luni Junction,26.0019658,73.0038979
360,MBDP,Maa Belha Devi Dham Pratapgarh Junction,25.9115884,82.0007886
363,MAO,Madgaon Junction,15.2673236,73.9703487
364,MDP,Madhupur Junction,24.2709577,86.6421996
365,MDU,Madurai Junction,9.9192715,78.1098809
367,MBA,Mahoba Junction,25.3063687,79.8502763
368,MHQ,Mahuda Junction,23.7478928,86.2694067
369,MHV,Mahuva Junction,21.0943917,71.7568456
370,MLN,Mailani Junction,28.2845513,80.3477245
371,MNQ,Mainpuri Junction,27.2166904,79.0336664
